"","Número de CUI","Fecha del delito","Hora del delito","Estado","Municipio","Latitud","Longitud","Sexo de la Víctima","Edad de la víctima","tiempo_num","hora_delito","hora"
"1","232/2018","06/07/15","10:30:00 a. m.","ZACATECAS","GUADALUPE","22.7604623","-102.478882","Hombre","38",10H 30M 0S,10H 30M 0S,10
"2","1934/2019","10/03/16","12:30:00 a. m.","ZACATECAS","GUADALUPE","22.7587633","-102.523192","Hombre",NA,12H 30M 0S,12H 30M 0S,12
"3","26/2019","01/01/17","01:00:00 p. m.","ZACATECAS","GUADALUPE","22.7451593","-102.5218612","Hombre","54",1H 0M 0S,13H 0M 0S,13
"4","5955/2019","15/07/17","14:00:00","ZACATECAS","GUADALUPE","22.7392855","-102.5141625","Hombre","60",14H 0M 0S,14H 0M 0S,14
"5","2496/2018","15/11/17","10:00:00 a. m.","ZACATECAS","ZACATECAS","22.7486677","-102.6069138","Hombre","40",10H 0M 0S,10H 0M 0S,10
"6","1012/2018","07/02/18","05:00:00 a. m.","ZACATECAS","GUADALUPE","22.7514671","-102.5136023","Mujer","46",5H 0M 0S,5H 0M 0S,5
"7","2232/2018","10/04/18","10:40:00 a. m.","ZACATECAS","GUADALUPE","22.8222147","-102.405142","Mujer","38",10H 40M 0S,10H 40M 0S,10
"8","132/2018","18/05/18","08:00:00 p. m.","ZACATECAS","GUADALUPE","22.7532246","-102.517008","Mujer","54",8H 0M 0S,20H 0M 0S,20
"9","2587/2018","08/06/18","02:00:00 a. m.","ZACATECAS","GUADALUPE","22.7640534","-102.5370331","Hombre","43",2H 0M 0S,2H 0M 0S,2
"10","517/2018","09/06/18","05:05:00 a. m.","ZACATECAS","TRANCOSO","22.7476783","-102.359717","Hombre",NA,5H 5M 0S,5H 5M 0S,5
"11","1709/2018","11/06/18","08:30:00 a. m.","ZACATECAS","GUADALUPE","22.7541881","-102.524224","Mujer","53",8H 30M 0S,8H 30M 0S,8
"12","56(PIE)/2018","14/06/18","03:00:00 a. m.","ZACATECAS","ZACATECAS","22.7705359","-102.5685297","Mujer","29",3H 0M 0S,3H 0M 0S,3
"13","606/2018","18/06/18","03:00:00 p. m.","ZACATECAS","GUADALUPE","22.7595287","-102.515301","Hombre","32",3H 0M 0S,15H 0M 0S,15
"14","2074/2018","22/06/18","08:15:00 p. m.","ZACATECAS","ZACATECAS","22.750763","-102.5759","Mujer","31",8H 15M 0S,20H 15M 0S,20
"15","2401/2018","28/06/18","09:00:00 a. m.","ZACATECAS","GENARO CODINA","22.48727","-102.4547281","Hombre","42",9H 0M 0S,9H 0M 0S,9
"16","2112/2018","29/06/18","07:20:00 a. m.","ZACATECAS","GUADALUPE","22.7476919","-102.5114601","Hombre","27",7H 20M 0S,7H 20M 0S,7
"17","2292/2018","29/06/18","09:15:00 p. m.","ZACATECAS","GUADALUPE","22.7565759","-102.511889","Mujer","27",9H 15M 0S,21H 15M 0S,21
"18","2592/2018","29/06/18","04:00:00 a. m.","ZACATECAS","GUADALUPE","22.7522644","-102.529579","Hombre","36",4H 0M 0S,4H 0M 0S,4
"19","2084/2018","30/06/18","09:30:00 a. m.","ZACATECAS","ZACATECAS","22.76414","-102.5865558","Hombre",NA,9H 30M 0S,9H 30M 0S,9
"20","2095/ATEPENAL/2018","30/06/18","10:00:00 a. m.","ZACATECAS","GUADALUPE","22.7499685","-102.5180644","Mujer","53",10H 0M 0S,10H 0M 0S,10
"21","2128/ATEPENAL/2018","30/06/18","11:20:00 a. m.","ZACATECAS","GUADALUPE","22.7581699","-102.5401975","Hombre","67",11H 20M 0S,11H 20M 0S,11
"22","2156/2018","02/07/18","07:00:00 p. m.","ZACATECAS","GUADALUPE","22.7597478","-102.4787495","Hombre","26",7H 0M 0S,19H 0M 0S,19
"23","2070/2018","02/07/18","10:00:00 a. m.","ZACATECAS","ZACATECAS","22.7591687","-102.5695585","Hombre","59",10H 0M 0S,10H 0M 0S,10
"24","2073/2018","02/07/18","12:30:00 a. m.","ZACATECAS","ZACATECAS","22.7611111","-102.5953506","Hombre","42",12H 30M 0S,12H 30M 0S,12
"25","2159/2018","02/07/18","06:45:00 p. m.","ZACATECAS","GUADALUPE","22.755351","-102.480262","Mujer","38",6H 45M 0S,18H 45M 0S,18
"26","2106/2018","03/07/18","06:20:00 p. m.","ZACATECAS","GUADALUPE","22.7531306","-102.4949365","Hombre","22",6H 20M 0S,18H 20M 0S,18
"27","2087/2018","03/07/18","01:00:00 a. m.","ZACATECAS","TRANCOSO","22.7333631","-102.3667921","Mujer","53",1H 0M 0S,1H 0M 0S,1
"28","605/2018","03/07/18","09:00:00 p. m.","ZACATECAS","ZACATECAS","22.7471739","-102.592437","Mujer","56",9H 0M 0S,21H 0M 0S,21
"29","22/2018","04/07/18","08:40:00 a. m.","ZACATECAS","GUADALUPE","22.7339158","-102.5272932","Mujer","47",8H 40M 0S,8H 40M 0S,8
"30","2130/2018","05/07/18","04:40:00 a. m.","ZACATECAS","ZACATECAS","22.6946129","-102.1153142","Mujer","44",4H 40M 0S,4H 40M 0S,4
"31","2181/2018","05/07/18","10:00:00 p. m.","ZACATECAS","GUADALUPE","22.8229434","-102.4031569","Hombre","34",10H 0M 0S,22H 0M 0S,22
"32","2161/2018","05/07/18","01:30:00 a. m.","ZACATECAS","GUADALUPE","22.7587534","-102.501488","Hombre","35",1H 30M 0S,1H 30M 0S,1
"33","16/2018","05/07/18","06:30:00 a. m.","ZACATECAS","ZACATECAS","22.7550229","-102.5728438","Hombre",NA,6H 30M 0S,6H 30M 0S,6
"34","1050/2018","05/07/18","01:00:00 p. m.","ZACATECAS","ZACATECAS","22.7705359","-102.5685297","Mujer","34",1H 0M 0S,13H 0M 0S,13
"35","64/2018","06/07/18","06:00:00 p. m.","ZACATECAS","GUADALUPE","22.7376401","-102.5081817","Hombre","60",6H 0M 0S,18H 0M 0S,18
"36","2141/2018","06/07/18","9:00:00","ZACATECAS","GUADALUPE","22.7565759","-102.511889","Hombre",NA,9H 0M 0S,9H 0M 0S,9
"37","2228/2018","06/07/18","10:00:00 a. m.","ZACATECAS","GUADALUPE","22.754924","-102.5355617","Hombre","52",10H 0M 0S,10H 0M 0S,10
"38","2143/2018","06/07/18","01:30:00 p. m.","ZACATECAS","ZACATECAS","22.776654","-102.614371","Mujer","48",1H 30M 0S,13H 30M 0S,13
"39","14/2018","06/07/18","12:00:00 a. m.","ZACATECAS","ZACATECAS","22.7643416","-102.5478","Hombre","36",12H 0M 0S,12H 0M 0S,12
"40","70/2018","07/07/18","03:20:00 p. m.","ZACATECAS","ZACATECAS","22.7699119","-102.56111","Mujer","21",3H 20M 0S,15H 20M 0S,15
"41","2194/2018","07/07/18","04:00:00 p. m.","ZACATECAS","ZACATECAS","22.76414","-102.5865558","Mujer","51",4H 0M 0S,16H 0M 0S,16
"42","77/2018","07/07/18","05:30:00 p. m.","ZACATECAS","GUADALUPE","22.730995","-102.475548","Mujer","65",5H 30M 0S,17H 30M 0S,17
"43","13/2018","07/07/18","12:00:00 p. m.","ZACATECAS","GUADALUPE","22.7551714","-102.44807","Hombre","39",12H 0M 0S,24H 0M 0S,24
"44","37/2018","07/07/18","08:00:00 p. m.","ZACATECAS","GUADALUPE","22.7547831","-102.499995","Hombre","45",8H 0M 0S,20H 0M 0S,20
"45","38/2018","07/07/18","02:00:00 p. m.","ZACATECAS","ZACATECAS","22.774215","-102.583834","Hombre","29",2H 0M 0S,14H 0M 0S,14
"46","32/2018","07/07/18","01:30:00 a. m.","ZACATECAS","GUADALUPE","22.746267","-102.519991","Hombre","48",1H 30M 0S,1H 30M 0S,1
"47","16/2018-2","08/07/18","08:30:00 a. m.","ZACATECAS","GUADALUPE","22.738452","-102.511714","Hombre","38",8H 30M 0S,8H 30M 0S,8
"48","21/2018","08/07/18","07:00:00 p. m.","ZACATECAS","ZACATECAS","22.7526009","-102.571941","Hombre","36",7H 0M 0S,19H 0M 0S,19
"49","18/2018","08/07/18","01:00:00 p. m.","ZACATECAS","ZACATECAS","22.777222","-102.5625","Hombre","47",1H 0M 0S,13H 0M 0S,13
"50","57(PIE)/2018","08/07/18","08:30:00 a. m.","ZACATECAS","GUADALUPE","22.7471511","-102.5191748","Hombre","60",8H 30M 0S,8H 30M 0S,8
"51","2188/2018","09/07/18","08:30:00 a. m.","ZACATECAS","GUADALUPE","22.7686282","-102.5723871","Mujer",NA,8H 30M 0S,8H 30M 0S,8
"52","40/2018","09/07/18","10:30:00 a. m.","ZACATECAS","ZACATECAS","22.7564427","-102.5897301","Hombre",NA,10H 30M 0S,10H 30M 0S,10
"53","28/2018","09/07/18","07:00:00 a. m.","ZACATECAS","GUADALUPE","22.7509767","-102.5290858","Mujer","48",7H 0M 0S,7H 0M 0S,7
"54","31/2018","09/07/18","02:00:00 p. m.","ZACATECAS","ZACATECAS","22.7779082","-102.6189786","Mujer","51",2H 0M 0S,14H 0M 0S,14
"55","234/2018","09/07/18","11:00:00 a. m.","ZACATECAS","GUADALUPE","22.7516499","-102.513147","Mujer","44",11H 0M 0S,11H 0M 0S,11
"56","2187/2018","09/07/18","10:30:00","ZACATECAS","GUADALUPE","22.7574477","-102.506035","Mujer","37",10H 30M 0S,10H 30M 0S,10
"57","2230/2018","10/07/18","06:00:00 p. m.","ZACATECAS","ZACATECAS","22.7727333","-102.5811658","Hombre","34",6H 0M 0S,18H 0M 0S,18
"58","2103/2018","10/07/18","03:00:00 a. m.","ZACATECAS","GUADALUPE","22.7583379","-102.502741","Mujer","33",3H 0M 0S,3H 0M 0S,3
"59","236/2018","10/07/18","02:45:00 p. m.","ZACATECAS","GUADALUPE","22.7509718","-102.526974","Mujer","25",2H 45M 0S,14H 45M 0S,14
"60","054/2018","11/07/18","04:15:00 p. m.","ZACATECAS","GUADALUPE","22.757812","-102.539339","Hombre","45",4H 15M 0S,16H 15M 0S,16
"61","2212/2018","11/07/18","01:45:00 p. m.","ZACATECAS","GUADALUPE","22.7440682","-102.5142359","Hombre","39",1H 45M 0S,13H 45M 0S,13
"62","2220/2018","11/07/18","01:00:00 p. m.","ZACATECAS","ZACATECAS","22.764665","-102.579007","Hombre","24",1H 0M 0S,13H 0M 0S,13
"63","52/2018","11/07/18","11:00:00 p. m.","ZACATECAS","ZACATECAS","22.7608619","-102.596421","Hombre","51",11H 0M 0S,23H 0M 0S,23
"64","50/2018","11/07/18","01:10:00 p. m.","ZACATECAS","ZACATECAS","22.7651061","-102.580973","Hombre","24",1H 10M 0S,13H 10M 0S,13
"65","49/2018","11/07/18","04:20:00 p. m.","ZACATECAS","GUADALUPE","22.7557199","-102.519508","Hombre","36",4H 20M 0S,16H 20M 0S,16
"66","56/2018","12/07/18","04:00:00 p. m.","ZACATECAS","GUADALUPE","22.7642565","-102.5026232","Mujer","62",4H 0M 0S,16H 0M 0S,16
"67","58/2018-2","12/07/18","02:00:00 a. m.","ZACATECAS","GUADALUPE","22.76245","-102.5378915","Hombre","55",2H 0M 0S,2H 0M 0S,2
"68","53/2018","12/07/18","10:30:00 a. m.","ZACATECAS","GUADALUPE","22.7565127","-102.4973521","Hombre","27",10H 30M 0S,10H 30M 0S,10
"69","59/2018","12/07/18","12:14:00 p. m.","ZACATECAS","ZACATECAS","22.7494401","-102.5633","Hombre","49",12H 14M 0S,24H 14M 0S,24
"70","227/2018","12/07/18","07:20:00 p. m.","ZACATECAS","GUADALUPE","22.732976","-102.511764","Mujer","35",7H 20M 0S,19H 20M 0S,19
"71","2239/2018","13/07/18","10:30:00 a. m.","ZACATECAS","ZACATECAS","20.65968","-103.3496092","Hombre","50",10H 30M 0S,10H 30M 0S,10
"72","73/2018","13/07/18","12:00:00 p. m.","ZACATECAS","GUADALUPE","22.761035","-102.479518","Hombre","41",12H 0M 0S,24H 0M 0S,24
"73","73/2018-2","13/07/18","05:00:00 p. m.","ZACATECAS","ZACATECAS","22.772826","-102.5912","Hombre","24",5H 0M 0S,17H 0M 0S,17
"74","61/2018","13/07/18","11:00:00 a. m.","ZACATECAS","GUADALUPE","22.777222","-102.5625","Hombre","40",11H 0M 0S,11H 0M 0S,11
"75","228/2018","13/07/18","05:00:00 p. m.","ZACATECAS","ZACATECAS","22.764418","-102.54719","Mujer","25",5H 0M 0S,17H 0M 0S,17
"76","64/2018-2","13/07/18","09:30:00 a. m.","ZACATECAS","ZACATECAS","22.75602","-102.579","Hombre","38",9H 30M 0S,9H 30M 0S,9
"77","2257/2018","14/07/18","15:00:00","ZACATECAS","ZACATECAS","22.761141","-102.544647","Mujer","60",15H 0M 0S,15H 0M 0S,15
"78","70/2018-2","14/07/18","07:00:00 p. m.","ZACATECAS","GUADALUPE","22.7562695","-102.4974774","Mujer","40",7H 0M 0S,19H 0M 0S,19
"79","67/2018","14/07/18","03:00:00 a. m.","ZACATECAS","ZACATECAS","22.7748924","-102.5731504","Hombre","21",3H 0M 0S,3H 0M 0S,3
"80","58/2018","14/07/18","11:30:00 p. m.","ZACATECAS","GUADALUPE","22.767366","-102.4804409","Mujer","29",11H 30M 0S,23H 30M 0S,23
"81","1299/2018","14/07/18","08:00:00 p. m.","ZACATECAS","ZACATECAS","22.749575","-102.5835937","Hombre","27",8H 0M 0S,20H 0M 0S,20
"82","264/2018","14/07/18","08:00:00 p. m.","ZACATECAS","GUADALUPE","22.7583787","-102.5018564","Hombre","38",8H 0M 0S,20H 0M 0S,20
"83","55/2018","15/07/18","12:00:00 p. m.","ZACATECAS","GUADALUPE","22.7307841","-102.5235979","Hombre","38",12H 0M 0S,24H 0M 0S,24
"84","2266/2018","15/07/18","03:16:00 p. m.","ZACATECAS","ZACATECAS","22.7748924","-102.57315","Mujer","41",3H 16M 0S,15H 16M 0S,15
"85","2299/2018","15/07/18","03:44:00 a. m.","ZACATECAS","GUADALUPE","22.75923","-102.543793","Hombre","22",3H 44M 0S,3H 44M 0S,3
"86","183/2019","15/07/18","05:00:00 p. m.","ZACATECAS","GUADALUPE",NA,NA,"Mujer","36",5H 0M 0S,17H 0M 0S,17
"87","54/2018","16/07/18","12:30:00 p. m.","ZACATECAS","GUADALUPE","22.8172909","-102.406708","Hombre","58",12H 30M 0S,24H 30M 0S,24
"88","2296/2018","17/07/18","02:00:00 p. m.","ZACATECAS","ZACATECAS","22.7419631","-102.5840109","Mujer","31",2H 0M 0S,14H 0M 0S,14
"89","2276/2018","17/07/18","01:51:00 p. m.","ZACATECAS","ZACATECAS","22.76351","-102.5522979","Mujer","30",1H 51M 0S,13H 51M 0S,13
"90","82/2018","17/07/18","09:00:00 p. m.","ZACATECAS","GUADALUPE","22.7227158","-102.5080242","Hombre","35",9H 0M 0S,21H 0M 0S,21
"91","2272/2018","17/07/18","08:15:00 a. m.","ZACATECAS","GUADALUPE","22.7731014","-102.4872505","Hombre","60",8H 15M 0S,8H 15M 0S,8
"92","54/2018-2","17/07/18","01:20:00 p. m.","ZACATECAS","GUADALUPE","22.7552958","-102.5401899","Mujer","21",1H 20M 0S,13H 20M 0S,13
"93","91/2018","17/07/18","11:00:00 a. m.","ZACATECAS","ZACATECAS","22.7481773","-102.5850365","Hombre","25",11H 0M 0S,11H 0M 0S,11
"94","81/2018","17/07/18","12:00:00 p. m.","ZACATECAS","GUADALUPE","22.7591075","-102.5380717","Hombre","27",12H 0M 0S,24H 0M 0S,24
"95","250/2018","17/07/18","02:00:00 p. m.","ZACATECAS","GUADALUPE","22.7562209","-102.532395","Hombre","61",2H 0M 0S,14H 0M 0S,14
"96","88/2018","17/07/18","03:20:00 p. m.","ZACATECAS","GUADALUPE","22.7508114","-102.497304","Hombre","43",3H 20M 0S,15H 20M 0S,15
"97","5886/2018","18/07/18","03:30:00 p. m.","ZACATECAS","GUADALUPE","22.7595115","-102.478579","Mujer","29",3H 30M 0S,15H 30M 0S,15
"98","2468/2018","18/07/18","01:30:00 p. m.","ZACATECAS","ZACATECAS","22.7734049","-102.5737211","Hombre","30",1H 30M 0S,13H 30M 0S,13
"99","510/2018","18/07/18","11:15:00 a. m.","ZACATECAS","ZACATECAS","22.7578265","-102.5723351","Mujer","39",11H 15M 0S,11H 15M 0S,11
"100","2430/2018","18/07/18","02:30:00 p. m.","ZACATECAS","GUADALUPE","22.7842126","-102.4164","Hombre","37",2H 30M 0S,14H 30M 0S,14
"101","89/2018","18/07/18","09:00:00 p. m.","ZACATECAS","GUADALUPE","22.7537464","-102.51137","Hombre","51",9H 0M 0S,21H 0M 0S,21
"102","94/2018","19/07/18","12:00:00 p. m.","ZACATECAS","GUADALUPE","22.7627092","-102.4893853","Mujer","34",12H 0M 0S,24H 0M 0S,24
"103","2369/2018","20/07/18","11:30:00 a. m.","ZACATECAS","GUADALUPE","22.7410411","-102.5184251","Hombre","59",11H 30M 0S,11H 30M 0S,11
"104","447/2018","20/07/18","12:00:00 p. m.","ZACATECAS","GUADALUPE","22.7581699","-102.5401975","Hombre","45",12H 0M 0S,24H 0M 0S,24
"105","2371/2018","20/07/18","15:00:00","ZACATECAS","GUADALUPE","22.7527091","-102.505768","Hombre","45",15H 0M 0S,15H 0M 0S,15
"106","445/2018","20/07/18","01:30:00 p. m.","ZACATECAS","ZACATECAS","22.7524508","-102.571555","Hombre","36",1H 30M 0S,13H 30M 0S,13
"107","2556/2019","20/07/18","04:00:00 p. m.","ZACATECAS","ZACATECAS","22.7656614","-102.597935","Hombre","34",4H 0M 0S,16H 0M 0S,16
"108","2439/2018","20/07/18","6:00:00","ZACATECAS","ZACATECAS","22.7691332","-102.548243","Hombre","32",6H 0M 0S,6H 0M 0S,6
"109","109/2018","21/07/18","12:00:00 p. m.","ZACATECAS","ZACATECAS","22.7565759","-102.511889","Hombre","23",12H 0M 0S,24H 0M 0S,24
"110","2388/2018","21/07/18","09:00:00 a. m.","ZACATECAS","GUADALUPE","22.7605097","-102.4787944","Mujer","33",9H 0M 0S,9H 0M 0S,9
"111","2328/2018","21/07/18","10:00:00 a. m.","ZACATECAS","ZACATECAS","22.7667893","-102.5828188","Mujer","40",10H 0M 0S,10H 0M 0S,10
"112","2437/2018","21/07/18","07:00:00 p. m.","ZACATECAS","GUADALUPE","22.7579464","-102.4807","Mujer","45",7H 0M 0S,19H 0M 0S,19
"113","2382/2018","21/07/18","08:30:00 a. m.","ZACATECAS","ZACATECAS","22.7755373","-102.5821877","Hombre","40",8H 30M 0S,8H 30M 0S,8
"114","1328/2018","21/07/18","01:00:00 a. m.","ZACATECAS","ZACATECAS","22.777103","-102.612606","Hombre","47",1H 0M 0S,1H 0M 0S,1
"115","446/2018","21/07/18","12:00:00 p. m.","ZACATECAS","ZACATECAS","22.774423","-102.570052","Hombre","30",12H 0M 0S,24H 0M 0S,24
"116","2352/2018","22/07/18","05:00:00 a. m.","ZACATECAS","GUADALUPE","22.7605274","-102.4789237","Hombre","43",5H 0M 0S,5H 0M 0S,5
"117","2368/2018","22/07/18","06:50:00 a. m.","ZACATECAS","GUADALUPE","22.7565759","-102.511889","Mujer","45",6H 50M 0S,6H 50M 0S,6
"118","2555/2018","22/07/18","04:00:00 p. m.","ZACATECAS","GUADALUPE","22.749525","-102.520188",NA,NA,4H 0M 0S,16H 0M 0S,16
"119","2406/2018","22/07/18","03:15:00 a. m.","ZACATECAS","GUADALUPE","22.7661659","-102.5011335","Hombre","40",3H 15M 0S,3H 15M 0S,3
"120","300/2018","22/07/18","05:00:00 a. m.","ZACATECAS","ZACATECAS","22.763421","-102.6027","Hombre","24",5H 0M 0S,5H 0M 0S,5
"121","2429/2018","22/07/18","08:00:00 p. m.","ZACATECAS","ZACATECAS","22.7699119","-102.56111","Mujer","21",8H 0M 0S,20H 0M 0S,20
"122","2421/2018","23/07/18","10:40:00 a. m.","ZACATECAS","ZACATECAS","22.757068","-102.5372401","Hombre","33",10H 40M 0S,10H 40M 0S,10
"123","2445/2018","23/07/18","02:15:00 p. m.","ZACATECAS","ZACATECAS","22.7540589","-102.6005895","Mujer","22",2H 15M 0S,14H 15M 0S,14
"124","2366/2018","23/07/18","01:50:00 p. m.","ZACATECAS","ZACATECAS","22.778948","-102.613345","Hombre","38",1H 50M 0S,13H 50M 0S,13
"125","2331/2018","23/07/18","05:00:00 a. m.","ZACATECAS","ZACATECAS","22.7587892","-102.5755907","Mujer","71",5H 0M 0S,5H 0M 0S,5
"126","2594/2018","23/07/18","07:00:00 p. m.","ZACATECAS","ZACATECAS","22.775004","-102.5746531","Mujer","31",7H 0M 0S,19H 0M 0S,19
"127","106/2018","23/07/18","02:20:00 a. m.","ZACATECAS","ZACATECAS","22.7669411","-102.5847292","Hombre","51",2H 20M 0S,2H 20M 0S,2
"128","493/2018","23/07/18","10:00:00 p. m.","ZACATECAS","ZACATECAS","22.7432751","-102.589094","Hombre","42",10H 0M 0S,22H 0M 0S,22
"129","565/2018","24/07/18","10:17:00 p. m.","ZACATECAS","GUADALUPE","22.739558","-102.511668","Hombre",NA,10H 17M 0S,22H 17M 0S,22
"130","2448/2018","24/07/18","12:15:00","ZACATECAS","GUADALUPE","22.7194262","-102.4764264","Hombre","31",12H 15M 0S,12H 15M 0S,12
"131","2450/2018","24/07/18","06:00:00 p. m.","ZACATECAS","ZACATECAS","22.732801","-102.513678","Mujer","30",6H 0M 0S,18H 0M 0S,18
"132","mar-18","24/07/18","09:00:00 a. m.","ZACATECAS","GUADALUPE","22.750767","-102.475257","Hombre","45",9H 0M 0S,9H 0M 0S,9
"133","2107/2018","25/07/18","12:10:00 a. m.","ZACATECAS","ZACATECAS","22.76414","-102.5865558","Mujer","20",12H 10M 0S,12H 10M 0S,12
"134","144/2018","25/07/18","11:00:00 a. m.","ZACATECAS","ZACATECAS","22.7674601","-102.5803124","Mujer","37",11H 0M 0S,11H 0M 0S,11
"135","2380/2018","25/07/18","12:00:00 p. m.","ZACATECAS","GUADALUPE","22.760256","-102.5373","Mujer","38",12H 0M 0S,24H 0M 0S,24
"136","2407/2018","25/07/18","9:00:00","ZACATECAS","GUADALUPE","22.7550536","-102.519297","Mujer","57",9H 0M 0S,9H 0M 0S,9
"137","2495/2018","25/07/18","12:00:00 p. m.","ZACATECAS","ZACATECAS","22.7718463","-102.57134","Hombre","26",12H 0M 0S,24H 0M 0S,24
"138","1452/2018","25/07/18","04:30:00 p. m.","ZACATECAS","ZACATECAS","22.754813","-102.586712","Hombre","29",4H 30M 0S,16H 30M 0S,16
"139","2535/2018","25/07/18","10:00:00 a. m.","ZACATECAS","GUADALUPE","22.7565759","-102.511889","Hombre","30",10H 0M 0S,10H 0M 0S,10
"140","2557/2018","25/07/18","09:00:00 a. m.","ZACATECAS","ZACATECAS","22.761141","-102.5446467","Hombre","43",9H 0M 0S,9H 0M 0S,9
"141","2410/2018","25/07/18","07:00:00 p. m.","ZACATECAS","GUADALUPE","22.7519462","-102.5275928","Mujer","66",7H 0M 0S,19H 0M 0S,19
"142","2386/2018","25/07/18","09:30:00 a. m.","ZACATECAS","ZACATECAS","22.7552601","-102.537199","Hombre","40",9H 30M 0S,9H 30M 0S,9
"143","2411/2018","25/07/18","19:00:00","ZACATECAS","GUADALUPE","22.7544756","-102.53437","Hombre","69",19H 0M 0S,19H 0M 0S,19
"144","2420/2018","26/07/18","10:00:00 p. m.","ZACATECAS","ZACATECAS","22.769276","-102.5721716","Mujer","32",10H 0M 0S,22H 0M 0S,22
"145","2408/2018","26/07/18","07:00:00 p. m.","ZACATECAS","GUADALUPE","22.7507279","-102.4793834","Mujer","38",7H 0M 0S,19H 0M 0S,19
"146","2546/2018","26/07/18","01:55:00 p. m.","ZACATECAS","GUADALUPE","22.768656","-102.5389153","Hombre","45",1H 55M 0S,13H 55M 0S,13
"147","488/2018","26/07/18","13:00:00","ZACATECAS","GUADALUPE","22.8258956","-102.411401","Hombre","35",13H 0M 0S,13H 0M 0S,13
"148","248/2018","27/07/18","09:30:00 p. m.","ZACATECAS","ZACATECAS","22.7533148","-102.5663609","Mujer","34",9H 30M 0S,21H 30M 0S,21
"149","2541/2018","27/07/18","11:50:00 a. m.","ZACATECAS","GUADALUPE","22.762407","-102.503058","Mujer","33",11H 50M 0S,11H 50M 0S,11
"150","2539/2018","27/07/18","10:20:00 a. m.","ZACATECAS","ZACATECAS","22.7567776","-102.578862","Hombre","26",10H 20M 0S,10H 20M 0S,10
"151","2540/2018","27/07/18","08:00:00 a. m.","ZACATECAS","ZACATECAS","22.7567776","-102.578862","Mujer","41",8H 0M 0S,8H 0M 0S,8
"152","1291/2018","27/07/18","11:00:00 a. m.","ZACATECAS","GUADALUPE","22.74867","-102.5135","Mujer","42",11H 0M 0S,11H 0M 0S,11
"153","2509/2018","27/07/18","07:00:00 p. m.","ZACATECAS","GUADALUPE","22.8852777","-102.3058333","Hombre","22",7H 0M 0S,19H 0M 0S,19
"154","2469/2018","27/07/18","12:30:00 p. m.","ZACATECAS","GUADALUPE","22.7708555","-102.5832426","Hombre","29",12H 30M 0S,24H 30M 0S,24
"155","266/2018","27/07/18","01:10:00 p. m.","ZACATECAS","GUADALUPE","22.7509656","-102.497925","Hombre","33",1H 10M 0S,13H 10M 0S,13
"156","1574/2018","27/07/18","01:20:00 p. m.","ZACATECAS","GUADALUPE","22.74663","-102.5184152","Mujer","42",1H 20M 0S,13H 20M 0S,13
"157","290/2018","27/07/18","03:00:00 p. m.","ZACATECAS","GUADALUPE","22.7501571","-102.518976","Hombre","40",3H 0M 0S,15H 0M 0S,15
"158","265/2018","27/07/18","10:00:00 a. m.","ZACATECAS","GUADALUPE","22.7575902","-102.502865","Hombre","46",10H 0M 0S,10H 0M 0S,10
"159","2532/ATEPENAL/2018","28/07/18","01:00:00 a. m.","ZACATECAS","GUADALUPE","22.7852382","-102.4227834","Hombre","51",1H 0M 0S,1H 0M 0S,1
"160","1172/2018","28/07/18","10:30:00 a. m.","ZACATECAS","ZACATECAS","22.754918","-102.58119","Mujer","37",10H 30M 0S,10H 30M 0S,10
"161","288/2018","28/07/18","01:00:00 p. m.","ZACATECAS","GUADALUPE","22.752858","-102.472247","Mujer","44",1H 0M 0S,13H 0M 0S,13
"162","305/2018","29/07/18","07:40:00 a. m.","ZACATECAS","ZACATECAS","22.754804","-102.574742","Hombre","31",7H 40M 0S,7H 40M 0S,7
"163","286/2018","29/07/18","04:30:00 p. m.","ZACATECAS","GUADALUPE","22.7664596","-102.528279","Hombre","47",4H 30M 0S,16H 30M 0S,16
"164","139/2018","30/07/18","10:00:00","ZACATECAS","GUADALUPE","22.7499685","-102.518064","Mujer","28",10H 0M 0S,10H 0M 0S,10
"165","2483/2018","30/07/18","07:50:00 p. m.","ZACATECAS","ZACATECAS","22.7702032","-102.5783741","Mujer","27",7H 50M 0S,19H 50M 0S,19
"166","1305/2018","30/07/18","11:48:00 p. m.","ZACATECAS","GUADALUPE","22.7544004","-102.5056172","Mujer","31",11H 48M 0S,23H 48M 0S,23
"167","301/2018","30/07/18","06:00:00 p. m.","ZACATECAS","GUADALUPE","22.7194262","-102.4764264","Mujer","36",6H 0M 0S,18H 0M 0S,18
"168","39/2018","31/07/18","04:30:00 p. m.","ZACATECAS","GUADALUPE","22.7605678","-102.5004078","Hombre","49",4H 30M 0S,16H 30M 0S,16
"169","533/2018","31/07/18","12:00:00 p. m.","ZACATECAS","GUADALUPE","22.7482206","-102.5246044","Mujer","36",12H 0M 0S,24H 0M 0S,24
"170","2630/2018","01/08/18","01:00:00 p. m.","ZACATECAS","GUADALUPE","22.7611621","-102.5408178","Mujer","29",1H 0M 0S,13H 0M 0S,13
"171","725/2018","01/08/18","05:00:00 a. m.","ZACATECAS","TRANCOSO","22.737483","-102.343389","Mujer","35",5H 0M 0S,5H 0M 0S,5
"172","1015/2018","01/08/18","9:00:00","ZACATECAS","ZACATECAS","22.7686282","-102.572387","Mujer","51",9H 0M 0S,9H 0M 0S,9
